Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Barea,1842-01-01T00:00:00.000,Mesosiderite-A1,,Fell,42.383330,-2.500000
Barnaul,1904-01-01T00:00:00.000,H5,,Fell,52.733330,84.083330
Barntrup,1886-01-01T00:00:00.000,LL4,,Fell,52.000000,9.100000
Baroti,1910-01-01T00:00:00.000,L6,,Fell,31.616670,76.800000
Barwell,1965-01-01T00:00:00.000,L5,,Fell,52.565280,-1.339720
Bassikounou,2006-01-01T00:00:00.000,H5,,Fell,15.783330,-5.900000
Baszkówka,1994-01-01T00:00:00.000,L5,,Fell,52.033330,20.935830
Bath,1892-01-01T00:00:00.000,H4,,Fell,45.416670,-98.316670
Bath Furnace,1902-01-01T00:00:00.000,L6,,Fell,38.250000,-83.750000
Battle Mountain,2012-01-01T00:00:00.000,L6,,Fell,40.668130,-117.189130
Bawku,1989-01-01T00:00:00.000,LL5,,Fell,11.083330,-0.183330
Baxter,1916-01-01T00:00:00.000,L6,,Fell,36.750000,-93.500000
Beardsley,1929-01-01T00:00:00.000,H5,,Fell,39.800000,-101.200000
Beaver Creek,1893-01-01T00:00:00.000,H5,,Fell,51.166670,-117.333330
Beddgelert,1949-01-01T00:00:00.000,H5,,Fell,53.016670,-4.100000
Bells,1961-01-01T00:00:00.000,C2-ung,,Fell,33.600000,-96.466670
Belville,1937-01-01T00:00:00.000,OC,,Fell,-32.333330,-64.866670
Benares (a),1798-01-01T00:00:00.000,LL4,,Fell,25.366670,82.916670
Benguerir,2004-01-01T00:00:00.000,LL6,,Fell,32.250000,-8.150000
Beni M'hira,2001-01-01T00:00:00.000,L6,,Fell,32.866670,10.800000
Benld,1938-01-01T00:00:00.000,H6,,Fell,39.083330,-89.150000
Benoni,1943-01-01T00:00:00.000,H6,,Fell,-26.166670,28.416670
Bensour,2002-01-01T00:00:00.000,LL6,,Fell,30.000000,-7.000000
Benton,1949-01-01T00:00:00.000,LL6,,Fell,45.950000,-67.550000
